,id_exist,ground_truth,facebook/wav2vec2-large-xlsr-53,google/vivit-b-16x2-kinetics400,FacebookAI/xlm-roberta-large_transcripcion,FacebookAI/xlm-roberta-large_texto_video,FacebookAI/xlm-roberta-large_original
0,120001,1,0.2621564269065857,0.4240007400512695,0.5928835868835449,0.2895736396312713,0.9876278638839722
1,120002,1,0.4406404495239258,0.6620526909828186,0.4771826863288879,0.5166904330253601,1.000678777694702
2,120003,0,0.3239417374134063,0.3381881713867187,0.4048548936843872,0.7813324928283691,1.0663762092590332
3,120004,1,0.2704365849494934,0.4522760212421417,-0.0502602308988571,0.354268878698349,0.8711326122283936
4,120005,1,0.3669389486312866,0.3769938349723816,0.4225053191184997,-0.117134690284729,1.0351611375808716
5,120006,0,0.2180768400430679,0.640762209892273,0.4546239972114563,0.1141242384910583,0.815170168876648
6,120007,1,0.3584369719028473,0.5814291834831238,0.3984008431434631,0.014095245860517,1.0652064085006714
7,120008,1,0.2992865145206451,0.6191384792327881,-0.0521134920418262,1.1664772033691406,1.0300318002700806
8,120009,1,0.2353515475988388,0.3623568415641784,0.3824666738510132,0.8591821789741516,0.8299732208251953
9,120010,1,0.2743349373340606,0.6160612106323242,0.4546239972114563,0.5979028344154358,1.0230247974395752
10,120011,1,0.3339758217334747,0.176387682557106,1.1014825105667114,1.0342799425125122,1.0835185050964355
11,120012,1,0.51960289478302,0.6317290663719177,0.9683212637901306,0.6585813760757446,0.1653560400009155
12,120013,1,0.2514581978321075,0.6139594912528992,0.320818543434143,0.7565792202949524,1.0436774492263794
13,120014,1,0.5951957702636719,0.6435279846191406,1.023572564125061,0.5733702778816223,1.0285974740982056
14,120015,0,0.468691349029541,0.32562056183815,0.5759804844856262,0.0267401244491338,0.968753695487976
15,120016,1,0.4327523410320282,0.5844991207122803,0.3864176273345947,1.0715488195419312,1.0468460321426392
16,120017,0,0.3760595917701721,0.370816022157669,0.3486506640911102,0.1617387682199478,0.0593371130526065
17,120018,1,0.4162746965885162,0.5383284687995911,0.91613107919693,0.0107919191941618,1.008575439453125
18,120019,0,0.2517090737819671,0.4068207144737243,0.3826029002666473,0.8291547298431396,0.0146886128932237
19,120020,0,0.3908364772796631,0.4977037906646728,0.4771826863288879,0.7984540462493896,0.2235625386238098
20,120021,0,0.2671940624713897,0.2607823014259338,0.3824494183063507,0.6501106023788452,1.0301543474197388
21,120022,1,0.431350827217102,0.2721223831176758,0.6647628545761108,0.1525456607341766,1.028173804283142
22,120023,1,0.3586138784885406,0.6570942401885986,0.4048548936843872,-0.0085957506671547,0.0739375427365303
23,120024,1,0.3556118607521057,0.5812046527862549,0.130925104022026,0.0284330118447542,0.1307082623243332
24,120025,0,0.422446995973587,0.6321308612823486,0.960957407951355,0.4164140522480011,0.4956109821796417
25,120026,0,0.4230168759822845,0.3144518733024597,0.4397397935390472,0.2138160765171051,1.0397628545761108
26,120027,1,0.3508090078830719,0.4458872377872467,-0.0085127390921115,0.0658761411905288,0.3231851160526275
27,120028,0,0.2621541023254394,0.253947377204895,0.4546239972114563,0.2488603442907333,1.0019069910049438
28,120029,1,0.5037105083465576,0.6060860753059387,-0.0547527149319648,0.6694753766059875,0.470592200756073
29,120030,1,0.4722866415977478,0.6950845718383789,0.4365553259849548,-0.0074723688885569,0.0185890980064868
30,120031,1,0.464508593082428,0.4208725690841675,1.035490870475769,0.9564099311828612,1.0476820468902588
31,120032,0,0.3418150246143341,0.4828034937381744,0.0179607309401035,0.8620251417160034,0.8826290369033813
32,120033,0,0.22962486743927,0.4496885538101196,0.3825319707393646,0.0006205248646438,0.0657416880130767
33,120034,1,0.5531331300735474,0.4910313189029693,0.9157668352127076,0.6252282857894897,1.042026400566101
34,120035,1,0.3985308706760406,0.7239843606948853,0.9211950302124025,0.5224694013595581,0.9951132535934448
35,120036,0,0.3365369439125061,0.6973282694816589,0.7025394439697266,-0.1880221366882324,1.040663480758667
36,120037,1,0.3666248917579651,0.4740561842918396,1.0336295366287231,0.9167050123214722,1.014596939086914
37,120038,0,0.4174713790416717,0.2127176374197006,0.0207649581134319,0.0857050567865371,0.3985480368137359
38,120039,1,0.3366262912750244,0.2874974608421325,0.4546239972114563,0.7668471932411194,1.048996090888977
39,120040,1,0.4568377435207367,0.473995953798294,0.1408178508281707,1.1152373552322388,0.0394225493073463
40,120041,0,0.3010429739952087,0.499673843383789,0.0072518792003393,0.3289884030818939,-0.016682943329215
